"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"Dez Comunicação (RS)","","1","9","11","32","agência","25","107","Porto Alegre","0","","","","",""
"DFSul Fiat","","0","0","0","0","","0","0","","0","","","","",""
"Dialetto (SC)","","0","0","0","0","","0","0","","0","","","","",""
"Diamaju","","1","0","0","0","","0","0","","0","","Rio Grande do Sul","","",""
"Diferencial","","0","1","0","0","","0","0","","0","","","","",""
"Diffuze","","1","1","0","0","agência","1","0","","0","","","","",""
"Digital D","","1","1","0","0","","3","0","","0","","","","",""
"Digital Lifestyle","","0","0","6","0","","0","0","","0","","","","",""
"Dijean - Azaléia","","0","0","0","0","","0","0","","0","","","","",""
"Dimas Construtora","","1","1","1","0","","0","0","","0","","","","",""
"Dimed","","0","1","0","0","","0","0","","0","","","","",""
"Direct Mkt","","0","0","0","0","","0","0","","0","","","","",""
"Direto","","0","0","0","0","","0","0","","0","","","","",""
"Divine Chocolates","Alimentos e Bebidas","0","0","0","0","anunciante","0","0","Encantado","0","R$ 100 a 999 Mil","Rio Grande do Sul","direto","Médio",""
"DLegend","Construção e Imobiliário","0","1","3","0","anunciante","1","0","Porto Alegre","3","R$ 100 a 999 Mil","Rio Grande do Sul","agência","Médio","Alto"
"DLOJAVIRTUAL","Educação","0","1","2","0","anunciante","0","0","","0","","Rio Grande do Sul","direto","Pequeno",""
"Dm9sul (RS)","","0","1","2","6","","24","6","","0","","","","",""
"DMS Box (PR)","","0","1","0","2","","2","0","","0","","","","",""
"Dom Bosco","Educação","0","1","0","1","anunciante","0","0","Curitiba","2","R$ 100 a 999 Mil","Paraná","direto","Médio",""
"Dot Digital Group","","0","1","0","0","","0","0","","0","","","","",""
"Dotz","","1","0","1","0","","1","0","","0","","","","",""
"Dow","","1","0","0","0","","5","0","","0","","","","",""
"Drogarias Nissei","","2","1","0","1","","0","0","","0","","","","",""
"DSM","","1","0","0","0","","0","0","","0","","Rio Grande do Sul","","",""
"Dudalina","","1","0","0","0","","0","0","","0","","","","",""
"Dummond","","0","0","0","0","","0","0","","0","","","","",""
"Dumond","","0","0","0","0","","0","0","","0","","","","",""
"Dupla Grenal| In Loco | Delson","","0","1","0","1","","1","0","","0","","","","",""
"Duplo (RS)","","0","2","1","7","","2","4","","0","","","","",""
"DZ Estúdio (RS)","","2","9","16","22","agência","28","0","Porto Alegre","0","","","","",""
"E-tools Digital Connections (PR)","","0","0","0","0","","0","0","","0","","","","",""
"E21 (RS)","","0","4","12","25","agência","15","40","Porto Alegre","0","","","","",""
"EAE Marketing digital","","0","1","1","0","","0","0","","0","","","","",""
"Editora Globo","","0","1","0","0","","0","0","","0","","","","",""
"Editora Positivo","Comunicação, Edit. e Gráfica","1","2","0","1","anunciante","5","0","Curitiba","3","R$ 100 a 999 Mil","Paraná","direto","Grande",""
